date,product_id,source,review_text,rating,user_id
2024-01-10,prod2,amazon,"Satisfied, but camera could be better",4,user_0
2024-04-05,prod1,amazon,Poor build quality,1,user_1
2024-03-13,prod2,amazon,Poor build quality,3,user_2
2024-08-18,prod2,amazon,Good value for money,1,user_3
2024-10-24,prod2,amazon,Poor build quality,2,user_4
2024-03-08,prod2,amazon,Poor build quality,1,user_5
2024-10-17,prod3,amazon,Poor build quality,2,user_6
2024-09-02,prod1,amazon,Good value for money,4,user_7
2024-07-04,prod2,amazon,Poor build quality,1,user_8
2024-01-06,prod2,amazon,"Satisfied, but camera could be better",4,user_9
2024-09-08,prod2,amazon,Terrible customer service,2,user_10
2024-05-01,prod2,amazon,Poor build quality,2,user_11
2024-08-29,prod3,amazon,"Satisfied, but camera could be better",3,user_12
2024-07-27,prod2,amazon,Terrible customer service,5,user_13
2024-09-12,prod3,amazon,Terrible customer service,4,user_14
2024-09-02,prod2,amazon,"Great product, battery lasts long",3,user_15
2024-07-31,prod1,amazon,Poor build quality,5,user_16
2024-06-12,prod2,amazon,Terrible customer service,1,user_17
2024-08-27,prod1,amazon,Good value for money,1,user_18
2024-03-11,prod3,amazon,Poor build quality,3,user_19
2024-07-01,prod1,amazon,"Great product, battery lasts long",1,user_20
2024-10-26,prod3,amazon,Terrible customer service,1,user_21
2024-01-08,prod3,amazon,Terrible customer service,4,user_22
2024-02-22,prod2,amazon,"Great product, battery lasts long",2,user_23
2024-06-02,prod2,amazon,Terrible customer service,2,user_24
2024-09-23,prod2,amazon,Terrible customer service,5,user_25
2024-07-15,prod3,amazon,Terrible customer service,5,user_26
2024-05-11,prod1,amazon,Good value for money,1,user_27
2024-03-02,prod3,amazon,Poor build quality,5,user_28
2024-02-29,prod2,amazon,"Satisfied, but camera could be better",1,user_29
2024-09-17,prod1,amazon,Good value for money,3,user_30
2024-02-25,prod2,amazon,"Satisfied, but camera could be better",3,user_31
2024-01-31,prod2,amazon,Poor build quality,1,user_32
2024-09-03,prod2,amazon,Poor build quality,1,user_33
2024-02-15,prod3,amazon,"Satisfied, but camera could be better",2,user_34
2024-03-04,prod2,amazon,"Great product, battery lasts long",1,user_35
2024-06-18,prod2,amazon,"Great product, battery lasts long",4,user_36
2024-02-06,prod3,amazon,"Satisfied, but camera could be better",5,user_37
2024-03-29,prod3,amazon,Terrible customer service,4,user_38
2024-07-10,prod1,amazon,"Great product, battery lasts long",2,user_39
2024-01-01,prod1,amazon,"Satisfied, but camera could be better",1,user_40
2024-01-17,prod3,amazon,"Great product, battery lasts long",1,user_41
2024-06-11,prod3,amazon,"Great product, battery lasts long",4,user_42
2024-07-17,prod1,amazon,"Great product, battery lasts long",3,user_43
2024-04-22,prod2,amazon,"Satisfied, but camera could be better",2,user_44
2024-10-14,prod1,amazon,Poor build quality,4,user_45
2024-02-15,prod1,amazon,"Satisfied, but camera could be better",5,user_46
2024-02-27,prod3,amazon,Poor build quality,1,user_47
2024-09-05,prod2,amazon,Poor build quality,5,user_48
2024-03-07,prod3,amazon,Good value for money,5,user_49
2024-01-01,prod3,amazon,Poor build quality,3,user_50
2024-02-18,prod1,amazon,Good value for money,2,user_51
2024-01-28,prod3,amazon,Terrible customer service,2,user_52
2024-02-10,prod3,amazon,"Satisfied, but camera could be better",1,user_53
2024-05-21,prod2,amazon,Good value for money,5,user_54
2024-10-01,prod3,amazon,Poor build quality,3,user_55
2024-05-26,prod2,amazon,"Great product, battery lasts long",4,user_56
2024-04-08,prod2,amazon,Terrible customer service,3,user_57
2024-07-30,prod3,amazon,"Satisfied, but camera could be better",5,user_58
2024-06-05,prod3,amazon,Good value for money,1,user_59
2024-08-23,prod3,amazon,Good value for money,5,user_60
2024-09-17,prod2,amazon,Terrible customer service,5,user_61
2024-08-30,prod1,amazon,Good value for money,2,user_62
2024-10-03,prod1,amazon,Terrible customer service,5,user_63
2024-02-16,prod3,amazon,"Satisfied, but camera could be better",5,user_64
2024-08-28,prod3,amazon,Good value for money,1,user_65
2024-06-11,prod1,amazon,"Great product, battery lasts long",5,user_66
2024-03-22,prod3,amazon,Terrible customer service,3,user_67
2024-05-20,prod1,amazon,Poor build quality,1,user_68
2024-01-06,prod2,amazon,"Great product, battery lasts long",1,user_69
2024-09-19,prod3,amazon,"Satisfied, but camera could be better",5,user_70
2024-04-23,prod3,amazon,"Great product, battery lasts long",2,user_71
2024-06-19,prod1,amazon,Terrible customer service,3,user_72
2024-06-06,prod2,amazon,Poor build quality,1,user_73
2024-09-16,prod1,amazon,"Great product, battery lasts long",5,user_74
2024-08-19,prod2,amazon,Poor build quality,5,user_75
2024-06-26,prod1,amazon,Poor build quality,5,user_76
2024-03-24,prod1,amazon,"Great product, battery lasts long",1,user_77
2024-10-24,prod2,amazon,Terrible customer service,3,user_78
2024-09-26,prod1,amazon,Good value for money,5,user_79
2024-03-17,prod1,amazon,"Satisfied, but camera could be better",3,user_80
2024-02-09,prod2,amazon,"Great product, battery lasts long",3,user_81
2024-06-18,prod1,amazon,Terrible customer service,1,user_82
2024-03-21,prod1,amazon,Terrible customer service,2,user_83
2024-02-19,prod2,amazon,Terrible customer service,5,user_84
2024-03-24,prod2,amazon,Poor build quality,5,user_85
2024-01-12,prod1,amazon,"Great product, battery lasts long",2,user_86
2024-03-21,prod2,amazon,"Great product, battery lasts long",2,user_87
2024-05-04,prod1,amazon,"Satisfied, but camera could be better",4,user_88
2024-07-26,prod1,amazon,"Great product, battery lasts long",3,user_89
2024-08-07,prod3,amazon,Terrible customer service,2,user_90
2024-10-14,prod1,amazon,Poor build quality,4,user_91
2024-05-20,prod3,amazon,Good value for money,1,user_92
